Id,Edad,Sexo,MT,LaO,LoO,LaD,LoD,,,,
1,27,1,Moto,4.5379,-74.12567,4.6211,-74.06667,,,,
2,33,1,Bicicleta,4.5427,-74.081,4.6483,-74.07926,,,,
3,20,0,A Pie,4.5439,-74.04582,4.6320,-74.10113,,,,
4,40,1,Transmilenio,4.5180,-74.07821,4.6685,-74.12648,,,,
5,52,0,Carro,4.5095,-74.12314,4.5413,-74.01454,,,,
6,45,1,Carro,4.6494,-74.1517,4.6572,-74.07153,,,,
7,32,0,Moto,4.6351,-74.09256,4.5059,-74.19644,,,,
8,52,0,Carro,4.6545,-74.12758,4.5538,-74.033,,,,
9,24,0,Moto,4.6618,-74.06304,4.5076,-74.11397,,,,
10,24,0,Carro,4.5642,-74.13008,4.6001,-74.00148,,,,
11,55,0,Carro,4.5406,-74.13524,4.6112,-74.04522,,,,
12,18,0,Carro,4.6695,-74.12395,4.5377,-74.06154,,,,
13,38,1,Transmilenio,4.5740,-74.15048,4.6282,-74.08321,,,,
14,23,0,Transmilenio,4.5859,-74.13412,4.5135,-74.08124,,,,
15,35,0,Transmilenio,4.5827,-74.04159,4.5983,-74.07155,,,,
16,21,0,A Pie,4.6232,-74.08809,4.6000,-74.08124,,,,
17,39,0,Moto,4.5061,-74.0282,4.6489,-74.114,,,,
18,40,0,A Pie,4.6086,-74.08538,4.6471,-74.05113,,,,
19,20,0,Transmilenio,4.5903,-74.07332,4.5903,-74.10395,,,,
20,53,0,A Pie,4.5514,-74.01912,4.5125,-74.12519,,,,
21,52,1,Bicicleta,4.5401,-74.1886,4.5609,-74.04055,,,,
22,43,0,A Pie,4.5416,-74.04856,4.6609,-74.10081,,,,
23,38,0,Transmilenio,4.5459,-74.0247,4.6074,-74.16605,,,,
24,72,0,Transmilenio,4.5799,-74.17321,4.5954,-74.13011,,,,
25,60,0,Carro,4.6253,-74.1526,4.6937,-74.08716,,,,
26,58,0,Bicicleta,4.6377,-74.19303,4.6373,-74.09308,,,,
27,71,0,Transmilenio,4.5978,-74.19015,4.5704,-74.06037,,,,
28,32,1,A Pie,4.6613,-74.18786,4.5203,-74.18588,,,,
29,35,1,Transmilenio,4.5919,-74.03507,4.6590,-74.11848,,,,
30,72,0,Transmilenio,4.5112,-74.1393,4.6397,-74.10885,,,,
